
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.51963e+00 1.67368e+00 1.32734e+01 5.67838e-01 9.30929e-01 6.28367e-02 1.15619e+00 1.78944e+00 0.00000e+00 5.07142e+00 2.84642e-01 6.99124e-01 -1.00156e-01 4.78682e-01 1.08477e+01 7.80220e-01 9.30929e-01 9.30929e-01 4.81899e+00 0.00000e+00 1.59918e+01 9.90257e-01 1.00000e+00 9.95577e-01 1.22361e+00 1.00000e+00 1.14714e+00 5.00670e-01 -1.02235e+00 2.24200e+00 -1.15138e+01 2.51666e+00 -2.55267e+01 -1.55170e+02 -1.55067e+02 -1.03143e+00 -1.03065e+00 -1.11880e+00 -2.22577e-01 -1.19259e+01 -2.63593e+01 1.65685e+02 2.05767e+02 1.19256e-01 -1.54390e+04 6.89802e+05 1.98559e+02 -1.68879e+08 1.44277e+02 1.42835e+02 1.42358e+02 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -7.1402413e-01 -3.3864642e-02 3.3732122e-01 2.0279885e-01 4.5722067e+34 5.6783832e-01
3.2996700e-01 6.6666667e-03 -7.1402245e-01 -3.3864456e-02 3.3732036e-01 2.0279807e-01 4.5721228e+34 5.6783832e-01
3.2996700e-01 1.3333333e-02 -7.1401742e-01 -3.3863899e-02 3.3731856e-01 2.0279573e-01 4.5718710e+34 5.6783832e-01
3.2996700e-01 2.0000000e-02 -7.1400904e-01 -3.3862969e-02 3.3731551e-01 2.0279183e-01 4.5714515e+34 5.6783832e-01
3.2996700e-01 2.6666667e-02 -7.1399731e-01 -3.3861668e-02 3.3731125e-01 2.0278637e-01 4.5708642e+34 5.6783832e-01
3.2996700e-01 3.3333333e-02 -7.1398223e-01 -3.3859996e-02 3.3730577e-01 2.0277935e-01 4.5701091e+34 5.6783832e-01
3.2996700e-01 4.0000000e-02 -7.1396379e-01 -3.3857954e-02 3.3729908e-01 2.0277076e-01 4.5691865e+34 5.6783832e-01
3.2996700e-01 4.6666667e-02 -7.1394201e-01 -3.3855540e-02 3.3729117e-01 2.0276062e-01 4.5680962e+34 5.6783832e-01
3.2996700e-01 5.3333333e-02 -7.1391688e-01 -3.3852756e-02 3.3728205e-01 2.0274891e-01 4.5668385e+34 5.6783832e-01
3.2996700e-01 6.0000000e-02 -7.1388840e-01 -3.3849603e-02 3.3727172e-01 2.0273565e-01 4.5654134e+34 5.6783832e-01
3.2996700e-01 6.6666667e-02 -7.1385657e-01 -3.3846081e-02 3.3726017e-01 2.0272083e-01 4.5638211e+34 5.6783832e-01
3.2996700e-01 7.3333333e-02 -7.1382141e-01 -3.3842189e-02 3.3724742e-01 2.0270445e-01 4.5620617e+34 5.6783832e-01
3.2996700e-01 8.0000000e-02 -7.1378289e-01 -3.3837930e-02 3.3723346e-01 2.0268651e-01 4.5601353e+34 5.6783832e-01
3.2996700e-01 8.6666667e-02 -7.1374104e-01 -3.3833304e-02 3.3721830e-01 2.0266701e-01 4.5580421e+34 5.6783832e-01
3.2996700e-01 9.3333333e-02 -7.1369585e-01 -3.3828311e-02 3.3720193e-01 2.0264595e-01 4.5557823e+34 5.6783832e-01
3.2996700e-01 1.0000000e-01 -7.1364733e-01 -3.3822952e-02 3.3718435e-01 2.0262334e-01 4.5533560e+34 5.6783832e-01
3.2996700e-01 1.0666667e-01 -7.1359546e-01 -3.3817227e-02 3.3716558e-01 2.0259916e-01 4.5507635e+34 5.6783832e-01
3.2996700e-01 1.1333333e-01 -7.1354027e-01 -3.3811138e-02 3.3714561e-01 2.0257343e-01 4.5480049e+34 5.6783832e-01
3.2996700e-01 1.2000000e-01 -7.1348175e-01 -3.3804684e-02 3.3712444e-01 2.0254615e-01 4.5450805e+34 5.6783832e-01
3.2996700e-01 1.2666667e-01 -7.1341989e-01 -3.3797868e-02 3.3710207e-01 2.0251731e-01 4.5419905e+34 5.6783832e-01
3.2996700e-01 1.3333333e-01 -7.1335472e-01 -3.3790688e-02 3.3707851e-01 2.0248691e-01 4.5387350e+34 5.6783832e-01
3.2996700e-01 1.4000000e-01 -7.1328622e-01 -3.3783147e-02 3.3705375e-01 2.0245496e-01 4.5353144e+34 5.6783832e-01
3.2996700e-01 1.4666667e-01 -7.1321439e-01 -3.3775244e-02 3.3702780e-01 2.0242146e-01 4.5317289e+34 5.6783832e-01
3.2996700e-01 1.5333333e-01 -7.1313926e-01 -3.3766980e-02 3.3700065e-01 2.0238640e-01 4.5279787e+34 5.6783832e-01
3.2996700e-01 1.6000000e-01 -7.1306080e-01 -3.3758356e-02 3.3697231e-01 2.0234979e-01 4.5240641e+34 5.6783832e-01
3.2996700e-01 1.6666667e-01 -7.1297903e-01 -3.3749373e-02 3.3694278e-01 2.0231163e-01 4.5199853e+34 5.6783832e-01
3.2996700e-01 1.7333333e-01 -7.1289396e-01 -3.3740030e-02 3.3691205e-01 2.0227192e-01 4.5157427e+34 5.6783832e-01
3.2996700e-01 1.8000000e-01 -7.1280557e-01 -3.3730329e-02 3.3688013e-01 2.0223066e-01 4.5113365e+34 5.6783832e-01
3.2996700e-01 1.8666667e-01 -7.1271388e-01 -3.3720269e-02 3.3684701e-01 2.0218785e-01 4.5067670e+34 5.6783832e-01
3.2996700e-01 1.9333333e-01 -7.1261889e-01 -3.3709851e-02 3.3681270e-01 2.0214349e-01 4.5020344e+34 5.6783832e-01
3.2996700e-01 2.0000000e-01 -7.1252060e-01 -3.3699077e-02 3.3677719e-01 2.0209758e-01 4.4971392e+34 5.6783832e-01
3.2996700e-01 2.0666667e-01 -7.1241901e-01 -3.3687945e-02 3.3674049e-01 2.0205013e-01 4.4920816e+34 5.6783832e-01
3.2996700e-01 2.1333333e-01 -7.1231413e-01 -3.3676456e-02 3.3670260e-01 2.0200113e-01 4.4868620e+34 5.6783832e-01
3.2996700e-01 2.2000000e-01 -7.1220596e-01 -3.3664611e-02 3.3666350e-01 2.0195059e-01 4.4814805e+34 5.6783832e-01
3.2996700e-01 2.2666667e-01 -7.1209451e-01 -3.3652411e-02 3.3662321e-01 2.0189850e-01 4.4759377e+34 5.6783832e-01
3.2996700e-01 2.3333333e-01 -7.1197977e-01 -3.3639854e-02 3.3658172e-01 2.0184487e-01 4.4702339e+34 5.6783832e-01
3.2996700e-01 2.4000000e-01 -7.1186175e-01 -3.3626942e-02 3.3653902e-01 2.0178970e-01 4.4643693e+34 5.6783832e-01
3.2996700e-01 2.4666667e-01 -7.1174046e-01 -3.3613676e-02 3.3649513e-01 2.0173299e-01 4.4583444e+34 5.6783832e-01
3.2996700e-01 2.5333333e-01 -7.1161589e-01 -3.3600055e-02 3.3645004e-01 2.0167474e-01 4.4521596e+34 5.6783832e-01
3.2996700e-01 2.6000000e-01 -7.1148805e-01 -3.3586079e-02 3.3640375e-01 2.0161496e-01 4.4458153e+34 5.6783832e-01
3.2996700e-01 2.6666667e-01 -7.1135695e-01 -3.3571750e-02 3.3635626e-01 2.0155363e-01 4.4393118e+34 5.6783832e-01
3.2996700e-01 2.7333333e-01 -7.1122259e-01 -3.3557068e-02 3.3630757e-01 2.0149077e-01 4.4326495e+34 5.6783832e-01
3.2996700e-01 2.8000000e-01 -7.1108497e-01 -3.3542033e-02 3.3625768e-01 2.0142638e-01 4.4258290e+34 5.6783832e-01
3.2996700e-01 2.8666667e-01 -7.1094409e-01 -3.3526646e-02 3.3620659e-01 2.0136045e-01 4.4188506e+34 5.6783832e-01
3.2996700e-01 2.9333333e-01 -7.1079997e-01 -3.3510908e-02 3.3615431e-01 2.0129299e-01 4.4117149e+34 5.6783832e-01
3.2996700e-01 3.0000000e-01 -7.1065261e-01 -3.3494819e-02 3.3610083e-01 2.0122400e-01 4.4044222e+34 5.6783832e-01
3.2996700e-01 3.0666667e-01 -7.1050201e-01 -3.3478379e-02 3.3604616e-01 2.0115349e-01 4.3969732e+34 5.6783832e-01
3.2996700e-01 3.1333333e-01 -7.1034818e-01 -3.3461591e-02 3.3599030e-01 2.0108144e-01 4.3893682e+34 5.6783832e-01
3.2996700e-01 3.2000000e-01 -7.1019111e-01 -3.3444455e-02 3.3593324e-01 2.0100787e-01 4.3816078e+34 5.6783832e-01
3.2996700e-01 3.2666667e-01 -7.1003083e-01 -3.3426971e-02 3.3587501e-01 2.0093277e-01 4.3736925e+34 5.6783832e-01
3.2996700e-01 3.3333333e-01 -7.0986733e-01 -3.3409142e-02 3.3581559e-01 2.0085615e-01 4.3656229e+34 5.6783832e-01
3.2996700e-01 3.4000000e-01 -7.0970062e-01 -3.3390968e-02 3.3575499e-01 2.0077801e-01 4.3573996e+34 5.6783832e-01
3.2996700e-01 3.4666667e-01 -7.0953071e-01 -3.3372450e-02 3.3569321e-01 2.0069835e-01 4.3490231e+34 5.6783832e-01
3.2996700e-01 3.5333333e-01 -7.0935760e-01 -3.3353590e-02 3.3563026e-01 2.0061717e-01 4.3404941e+34 5.6783832e-01
3.2996700e-01 3.6000000e-01 -7.0918129e-01 -3.3334390e-02 3.3556614e-01 2.0053448e-01 4.3318130e+34 5.6783832e-01
3.2996700e-01 3.6666667e-01 -7.0900181e-01 -3.3314850e-02 3.3550086e-01 2.0045027e-01 4.3229806e+34 5.6783832e-01
3.2996700e-01 3.7333333e-01 -7.0881914e-01 -3.3294973e-02 3.3543442e-01 2.0036454e-01 4.3139975e+34 5.6783832e-01
3.2996700e-01 3.8000000e-01 -7.0863330e-01 -3.3274760e-02 3.3536682e-01 2.0027731e-01 4.3048643e+34 5.6783832e-01
