
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.48007e+00 1.62932e+00 1.29005e+01 5.12336e-01 9.56296e-01 4.97905e-02 9.73048e-01 1.66914e+00 0.00000e+00 4.41722e+00 2.72171e-01 6.30333e-01 -6.32572e-02 4.68749e-01 1.05501e+01 8.24170e-01 9.56296e-01 9.56296e-01 4.72623e+00 0.00000e+00 1.50274e+01 9.89997e-01 1.00000e+00 9.95122e-01 1.22278e+00 1.00000e+00 1.15241e+00 4.44192e-01 -8.49371e-01 2.18363e+00 -8.83803e+00 2.11802e+00 -1.69864e+01 -1.19107e+02 -1.19030e+02 -6.86354e-01 -6.85835e-01 -1.09085e+00 -2.28773e-01 -9.13272e+00 -1.75009e+01 1.06829e+02 1.40255e+02 1.03140e-01 -1.16107e+04 7.06977e+05 1.36199e+02 -1.06297e+08 8.77297e+01 8.64824e+01 8.60929e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -7.0420286e-01 -3.4030054e-02 3.3303762e-01 1.8036427e-01 4.7538816e+34 5.1233645e-01
3.2996700e-01 6.6666667e-03 -7.0420162e-01 -3.4029912e-02 3.3303698e-01 1.8036375e-01 4.7538175e+34 5.1233645e-01
3.2996700e-01 1.3333333e-02 -7.0419788e-01 -3.4029487e-02 3.3303563e-01 1.8036218e-01 4.7536252e+34 5.1233645e-01
3.2996700e-01 2.0000000e-02 -7.0419166e-01 -3.4028779e-02 3.3303336e-01 1.8035956e-01 4.7533047e+34 5.1233645e-01
3.2996700e-01 2.6666667e-02 -7.0418294e-01 -3.4027787e-02 3.3303019e-01 1.8035590e-01 4.7528560e+34 5.1233645e-01
3.2996700e-01 3.3333333e-02 -7.0417173e-01 -3.4026512e-02 3.3302610e-01 1.8035119e-01 4.7522792e+34 5.1233645e-01
3.2996700e-01 4.0000000e-02 -7.0415803e-01 -3.4024954e-02 3.3302111e-01 1.8034544e-01 4.7515743e+34 5.1233645e-01
3.2996700e-01 4.6666667e-02 -7.0414185e-01 -3.4023114e-02 3.3301522e-01 1.8033864e-01 4.7507414e+34 5.1233645e-01
3.2996700e-01 5.3333333e-02 -7.0412318e-01 -3.4020993e-02 3.3300842e-01 1.8033079e-01 4.7497806e+34 5.1233645e-01
3.2996700e-01 6.0000000e-02 -7.0410202e-01 -3.4018589e-02 3.3300072e-01 1.8032190e-01 4.7486918e+34 5.1233645e-01
3.2996700e-01 6.6666667e-02 -7.0407837e-01 -3.4015905e-02 3.3299212e-01 1.8031196e-01 4.7474753e+34 5.1233645e-01
3.2996700e-01 7.3333333e-02 -7.0405224e-01 -3.4012940e-02 3.3298262e-01 1.8030097e-01 4.7461310e+34 5.1233645e-01
3.2996700e-01 8.0000000e-02 -7.0402362e-01 -3.4009694e-02 3.3297222e-01 1.8028894e-01 4.7446591e+34 5.1233645e-01
3.2996700e-01 8.6666667e-02 -7.0399252e-01 -3.4006170e-02 3.3296092e-01 1.8027587e-01 4.7430597e+34 5.1233645e-01
3.2996700e-01 9.3333333e-02 -7.0395895e-01 -3.4002366e-02 3.3294873e-01 1.8026175e-01 4.7413329e+34 5.1233645e-01
3.2996700e-01 1.0000000e-01 -7.0392289e-01 -3.3998285e-02 3.3293564e-01 1.8024658e-01 4.7394788e+34 5.1233645e-01
3.2996700e-01 1.0666667e-01 -7.0388435e-01 -3.3993925e-02 3.3292166e-01 1.8023037e-01 4.7374975e+34 5.1233645e-01
3.2996700e-01 1.1333333e-01 -7.0384333e-01 -3.3989288e-02 3.3290679e-01 1.8021311e-01 4.7353892e+34 5.1233645e-01
3.2996700e-01 1.2000000e-01 -7.0379984e-01 -3.3984375e-02 3.3289103e-01 1.8019482e-01 4.7331539e+34 5.1233645e-01
3.2996700e-01 1.2666667e-01 -7.0375388e-01 -3.3979185e-02 3.3287438e-01 1.8017547e-01 4.7307919e+34 5.1233645e-01
3.2996700e-01 1.3333333e-01 -7.0370544e-01 -3.3973720e-02 3.3285684e-01 1.8015509e-01 4.7283032e+34 5.1233645e-01
3.2996700e-01 1.4000000e-01 -7.0365453e-01 -3.3967980e-02 3.3283841e-01 1.8013366e-01 4.7256880e+34 5.1233645e-01
3.2996700e-01 1.4666667e-01 -7.0360115e-01 -3.3961966e-02 3.3281909e-01 1.8011118e-01 4.7229465e+34 5.1233645e-01
3.2996700e-01 1.5333333e-01 -7.0354530e-01 -3.3955677e-02 3.3279888e-01 1.8008767e-01 4.7200787e+34 5.1233645e-01
3.2996700e-01 1.6000000e-01 -7.0348698e-01 -3.3949114e-02 3.3277778e-01 1.8006311e-01 4.7170849e+34 5.1233645e-01
3.2996700e-01 1.6666667e-01 -7.0342620e-01 -3.3942277e-02 3.3275580e-01 1.8003751e-01 4.7139652e+34 5.1233645e-01
3.2996700e-01 1.7333333e-01 -7.0336295e-01 -3.3935168e-02 3.3273293e-01 1.8001087e-01 4.7107196e+34 5.1233645e-01
3.2996700e-01 1.8000000e-01 -7.0329724e-01 -3.3927785e-02 3.3270916e-01 1.7998319e-01 4.7073485e+34 5.1233645e-01
3.2996700e-01 1.8666667e-01 -7.0322907e-01 -3.3920129e-02 3.3268451e-01 1.7995447e-01 4.7038519e+34 5.1233645e-01
3.2996700e-01 1.9333333e-01 -7.0315844e-01 -3.3912201e-02 3.3265897e-01 1.7992470e-01 4.7002300e+34 5.1233645e-01
3.2996700e-01 2.0000000e-01 -7.0308535e-01 -3.3904000e-02 3.3263253e-01 1.7989390e-01 4.6964830e+34 5.1233645e-01
3.2996700e-01 2.0666667e-01 -7.0300980e-01 -3.3895526e-02 3.3260520e-01 1.7986206e-01 4.6926110e+34 5.1233645e-01
