
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.40920e+00 1.54996e+00 1.22709e+01 3.66551e-01 1.00058e+00 2.42199e-02 6.10597e-01 1.46397e+00 0.00000e+00 2.90004e+00 2.49394e-01 4.85732e-01 2.33392e-02 4.49795e-01 1.00585e+01 9.12080e-01 1.00058e+00 1.00058e+00 4.58340e+00 0.00000e+00 1.29928e+01 9.89628e-01 1.00000e+00 9.93811e-01 1.21996e+00 1.00000e+00 1.16764e+00 3.07475e-01 -4.54168e-01 2.07908e+00 -4.07911e+00 1.32908e+00 -5.19845e+00 -5.49703e+01 -5.49370e+01 -2.10048e-01 -2.09890e-01 -1.03799e+00 -2.40133e-01 -4.19734e+00 -5.33449e+00 3.61156e+01 6.09586e+01 5.91761e-02 -5.99452e+03 7.44087e+05 6.01745e+01 -2.95691e+07 2.05058e+01 1.95365e+01 1.92621e+01 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -6.8404442e-01 -3.4015753e-02 3.2414328e-01 1.2492207e-01 5.0348655e+34 3.6655105e-01
3.2996700e-01 6.6666667e-03 -6.8404388e-01 -3.4015688e-02 3.2414300e-01 1.2492191e-01 5.0348363e+34 3.6655105e-01
3.2996700e-01 1.3333333e-02 -6.8404225e-01 -3.4015494e-02 3.2414241e-01 1.2492142e-01 5.0347488e+34 3.6655105e-01
3.2996700e-01 2.0000000e-02 -6.8403955e-01 -3.4015170e-02 3.2414142e-01 1.2492061e-01 5.0346028e+34 3.6655105e-01
3.2996700e-01 2.6666667e-02 -6.8403576e-01 -3.4014717e-02 3.2414002e-01 1.2491947e-01 5.0343986e+34 3.6655105e-01
3.2996700e-01 3.3333333e-02 -6.8403089e-01 -3.4014135e-02 3.2413823e-01 1.2491800e-01 5.0341360e+34 3.6655105e-01
3.2996700e-01 4.0000000e-02 -6.8402494e-01 -3.4013425e-02 3.2413604e-01 1.2491621e-01 5.0338150e+34 3.6655105e-01
3.2996700e-01 4.6666667e-02 -6.8401791e-01 -3.4012586e-02 3.2413346e-01 1.2491410e-01 5.0334358e+34 3.6655105e-01
3.2996700e-01 5.3333333e-02 -6.8400980e-01 -3.4011619e-02 3.2413048e-01 1.2491166e-01 5.0329984e+34 3.6655105e-01
3.2996700e-01 6.0000000e-02 -6.8400061e-01 -3.4010524e-02 3.2412711e-01 1.2490889e-01 5.0325027e+34 3.6655105e-01
3.2996700e-01 6.6666667e-02 -6.8399034e-01 -3.4009302e-02 3.2412334e-01 1.2490580e-01 5.0319489e+34 3.6655105e-01
3.2996700e-01 7.3333333e-02 -6.8397899e-01 -3.4007954e-02 3.2411919e-01 1.2490238e-01 5.0313369e+34 3.6655105e-01
