
-------------------------------------------------------------------------------
eosDaniela/eosSLy4,  MDIVxSDIV=151x301,  accuracy=1e-06
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi    r_plus     r_minus    exp_gamma_eq    exp_gamma_plus    exp_gamma_minus    conv_rad    conv_plus    conv_minus  chi    q    Mgeom    M2_geom   Jgeom   S3_geom    M2_asy    M2    S3_asy    S3    B0_geom    B0/M^2    M2^GH_geom   S3^GH_geom   M4_geom   M4_asy^GH_geom   B2/M^4   S5_geom  B2_asy/M^4   M4_asy_geom   S5_asy_geom  M4_geom_2points  M4_geom_3points  M4_geom_4points
-------------------------------------------------------------------------------
9.47690e+14 1.37794e+00 1.51498e+00 1.20012e+01 2.59978e-01 1.02141e+00 1.18972e-02 4.07482e-01 1.37748e+00 0.00000e+00 1.95702e+00 2.39144e-01 4.00401e-01 8.27572e-02 4.40903e-01 9.85081e+00 9.56040e-01 1.02141e+00 1.02141e+00 4.54927e+00 0.00000e+00 1.18291e+01 9.89496e-01 1.00000e+00 9.92728e-01 1.21830e+00 1.00000e+00 1.17999e+00 2.14609e-01 -2.34444e-01 2.03296e+00 -1.96866e+00 8.86961e-01 -1.71595e+00 -2.65292e+01 -2.65137e+01 -6.93346e-02 -6.92824e-02 -1.01354e+00 -2.45236e-01 -2.02203e+00 -1.75787e+00 1.99391e+01 4.21238e+01 3.15066e-02 -3.67285e+03 7.62295e+05 4.19510e+01 -9.36161e+06 5.66833e+00 4.79706e+00 4.55835e+00 
---------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------
r/(r+r_e)  cos(theta)     rho        gamma      alpha      omega     pressure   Omega
-------------------------------------------------------------------------------
3.2996700e-01 0.0000000e+00 -6.7428224e-01 -3.3902418e-02 3.1980266e-01 8.7116582e-02 5.1455596e+34 2.5997818e-01
3.2996700e-01 6.6666667e-03 -6.7428198e-01 -3.3902386e-02 3.1980253e-01 8.7116528e-02 5.1455456e+34 2.5997818e-01
3.2996700e-01 1.3333333e-02 -6.7428122e-01 -3.3902291e-02 3.1980225e-01 8.7116366e-02 5.1455036e+34 2.5997818e-01
3.2996700e-01 2.0000000e-02 -6.7427995e-01 -3.3902132e-02 3.1980177e-01 8.7116095e-02 5.1454336e+34 2.5997818e-01
3.2996700e-01 2.6666667e-02 -6.7427817e-01 -3.3901910e-02 3.1980111e-01 8.7115716e-02 5.1453356e+34 2.5997818e-01
3.2996700e-01 3.3333333e-02 -6.7427588e-01 -3.3901625e-02 3.1980025e-01 8.7115229e-02 5.1452097e+34 2.5997818e-01
3.2996700e-01 4.0000000e-02 -6.7427308e-01 -3.3901277e-02 3.1979921e-01 8.7114633e-02 5.1450558e+34 2.5997818e-01
3.2996700e-01 4.6666667e-02 -6.7426977e-01 -3.3900867e-02 3.1979798e-01 8.7113930e-02 5.1448740e+34 2.5997818e-01
3.2996700e-01 5.3333333e-02 -6.7426596e-01 -3.3900394e-02 3.1979657e-01 8.7113118e-02 5.1446643e+34 2.5997818e-01
3.2996700e-01 6.0000000e-02 -6.7426164e-01 -3.3899860e-02 3.1979496e-01 8.7112198e-02 5.1444268e+34 2.5997818e-01
3.2996700e-01 6.6666667e-02 -6.7425681e-01 -3.3899265e-02 3.1979318e-01 8.7111169e-02 5.1441614e+34 2.5997818e-01
3.2996700e-01 7.3333333e-02 -6.7425148e-01 -3.3898609e-02 3.1979121e-01 8.7110033e-02 5.1438683e+34 2.5997818e-01
3.2996700e-01 8.0000000e-02 -6.7424564e-01 -3.3897893e-02 3.1978906e-01 8.7108788e-02 5.1435473e+34 2.5997818e-01
